EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2(-1),E3(1),E4(-1),E5(1),E6(-1),E7(1),E8(-1),E9(1),E10(-1),N1(-1),N2(1),N3(-1),N4(1),N5(-1),N6(-1),N7(-1),N8(-1),N9(-1),N10(-1),A1(-1),A2(1),A3(-1),A4(1),A5(-1),A6(1),A7(-1),A8(1),A9(1),A10(1),C1(1),C2(-1),C3(1),C4(-1),C5(1),C6(-1),C7(1),C8(-1),C9(1),C10(1),O1(1),O2(-1),O3(1),O4(-1),O5(1),O6(-1),O7(1),O8(1),O9(1),O10(1)
,Caucasian (European),31,1,0,1,1,US,,,,,,5,4,4,5,5,4,5,1,5,5,3,5,3,4,4,1,1,1,4,1,5,1,5,2,5,1,4,5,5,3,5,3,4,1,2,2,2,2,4,2,5,4,2,2,2,4,1,5,2
,Mixed Race,22,1,0,0,1,PK,,,,,,1,5,3,4,1,3,4,4,5,3,3,5,3,2,2,2,2,2,2,3,3,1,4,2,5,5,4,5,5,4,2,5,1,4,4,5,3,5,5,4,2,4,2,4,1,3,1,4,5
,Caucasian (Indian),24,0,1,1,1,IN,,,,,,3,4,5,3,4,2,4,3,5,2,4,2,2,2,2,4,4,1,4,2,4,1,5,3,4,3,3,4,3,2,2,4,2,3,3,2,3,3,4,2,3,4,3,3,2,3,2,4,4
,Caucasian (Indian),26,0,1,1,1,IN,,,,,,1,5,3,5,4,5,1,5,3,2,4,5,4,4,4,4,4,5,1,1,4,2,5,1,5,2,4,5,5,5,1,5,1,3,2,5,1,5,5,4,1,5,1,4,1,5,4,4,5
,Caucasian (European),25,0,1,1,1,GR,,,,,,4,3,3,4,2,3,4,3,4,4,4,4,3,3,3,4,4,3,3,4,3,3,4,2,4,2,4,4,4,3,3,4,3,3,2,3,4,3,4,5,2,5,2,5,1,5,3,3,5
,Mixed Race,24,0,0,1,1,IN,,,,,,4,3,3,1,4,1,5,1,1,5,2,5,5,4,5,2,5,5,5,5,3,1,4,2,5,4,4,5,4,4,5,5,5,3,5,1,2,3,4,2,3,5,4,4,5,4,3,3,3
,Caucasian (Indian),27,0,0,1,1,IN,,,,,,4,3,3,3,4,4,5,4,4,4,2,4,3,3,5,4,4,4,5,5,4,2,4,2,5,2,5,5,4,3,2,2,4,2,5,4,5,3,5,4,3,4,2,3,3,4,2,4,5
,Caucasian (Indian),30,0,0,1,1,IN,,,,,,2,4,3,4,2,4,3,4,3,2,3,2,3,2,3,3,3,2,3,2,4,1,4,2,3,1,4,1,4,4,2,4,2,3,1,3,3,4,4,5,2,5,2,5,1,4,3,3,4
,Caucasian (Middle East),27,0,1,1,1,PK,,,,,,5,1,5,5,5,1,5,3,4,1,2,5,5,5,5,2,3,4,5,2,1,1,5,4,5,5,3,5,5,1,3,5,1,3,5,1,3,1,5,1,5,5,1,4,1,5,1,4,4
,Caucasian (European),24,1,1,1,1,US,,,,,,5,2,5,2,4,1,5,1,5,5,1,5,1,4,4,4,3,5,5,1,5,1,5,1,5,1,4,4,3,3,3,5,5,1,3,5,4,1,4,4,1,4,1,3,1,4,4,5,5
,Mixed Race,20,0,0,1,5,US,,,,,,4,3,4,1,4,1,5,1,5,3,4,5,2,4,4,2,2,3,2,2,5,1,5,1,4,2,3,4,4,4,1,4,4,2,3,4,2,2,5,4,1,4,1,4,4,5,4,4,3
,Caucasian (European),61,0,0,1,1,IT,,,,,,3,2,3,3,2,2,5,2,5,4,2,3,3,3,3,3,3,4,4,5,5,3,4,4,4,1,4,4,5,4,2,5,2,3,4,3,3,3,4,5,1,5,1,3,1,4,5,4,3
,Mixed Race,26,0,1,1,1,ID,,,,,,5,1,5,2,5,1,5,1,5,4,2,5,2,5,4,3,2,5,3,3,3,2,4,4,4,4,5,5,2,5,4,4,4,2,4,1,1,5,3,4,1,4,1,5,1,5,4,5,4
,Caucasian (Indian),24,0,0,1,5,IN,,,,,,1,5,3,3,3,3,5,1,3,5,1,5,3,5,5,5,5,5,3,5,5,1,3,3,5,3,3,3,5,5,5,5,5,3,3,5,3,5,3,3,3,5,3,3,3,3,3,5,3
,Caucasian (Indian),22,0,0,1,1,US,,,,,,4,3,4,4,2,4,3,3,2,2,4,4,4,3,3,2,2,3,2,3,4,2,4,2,4,2,3,4,4,3,2,4,2,4,2,3,3,4,2,3,3,4,3,3,3,3,3,4,3
,Caucasian (European),46,1,0,1,1,US,,,,,,1,3,2,5,1,4,3,4,2,2,3,2,4,2,2,3,1,2,1,1,5,1,4,4,4,1,4,4,4,2,5,3,4,1,5,5,4,2,3,4,2,5,1,5,1,4,4,5,5
,Mixed Race,22,0,0,1,1,IN,,,,,,1,4,2,1,1,3,5,3,5,2,3,3,3,1,4,4,4,1,2,5,4,1,5,1,5,3,5,3,5,1,1,5,1,3,3,4,2,1,5,1,2,3,2,4,1,5,1,5,4
,Caucasian (European),27,0,1,1,1,RS,,,,,,4,3,4,3,4,1,5,2,5,4,2,4,4,3,3,2,2,4,4,3,4,1,4,3,4,3,3,4,3,2,2,3,2,2,1,3,3,3,3,4,5,4,4,1,2,2,4,4,2
,Caucasian (European),15,1,0,1,1,GB,,,,,,1,2,3,3,1,1,5,1,4,5,1,5,1,4,5,5,5,5,5,1,5,1,3,2,4,1,4,3,1,5,1,5,5,3,3,5,3,4,3,5,3,5,1,5,1,5,5,5,5
,Caucasian (Middle East),32,0,0,1,1,AE,,,,,,1,4,3,3,2,2,4,2,5,2,4,3,3,3,2,2,2,3,3,4,3,1,4,3,4,3,5,4,4,3,3,3,3,4,2,1,2,3,3,3,2,4,3,3,2,4,2,3,3
,Caucasian (European),25,0,1,1,1,RO,,,,,,4,2,3,2,4,1,5,2,5,3,2,3,2,2,2,5,5,4,4,1,4,1,5,1,5,2,4,5,5,4,3,3,2,3,2,5,3,5,3,5,1,5,1,3,1,5,4,5,4
,Caucasian (Middle East),17,0,0,1,1,QA,,,,,,4,2,4,4,2,2,4,3,3,2,3,2,4,4,4,4,2,3,1,2,3,1,5,3,5,4,5,4,3,2,4,3,4,1,5,3,4,1,2,2,3,4,4,3,3,4,2,4,4
,Mixed Race,23,0,0,1,1,US,,,,,,5,5,5,3,5,3,5,1,5,5,5,5,1,5,5,5,5,5,3,3,5,1,5,3,5,3,5,4,4,5,5,5,3,1,5,4,3,4,3,5,2,5,3,5,1,5,4,5,4
,Caucasian (Indian),24,0,1,1,1,IN,,,,,,5,2,5,2,4,1,1,2,5,4,3,4,3,5,5,5,5,5,3,5,2,1,4,4,5,3,3,4,2,5,1,4,1,3,1,1,2,5,4,2,2,4,2,4,1,3,1,5,4
,Caucasian (European),63,1,0,1,1,US,,,,,,3,3,1,4,1,5,3,5,3,1,3,4,2,1,1,2,1,1,3,1,3,1,5,2,5,1,4,5,5,4,1,5,1,4,1,5,1,1,5,4,1,3,1,5,1,4,2,5,5
,Caucasian (Indian),17,1,0,1,1,IN,,,,,,5,2,5,2,4,1,5,2,5,2,3,4,5,1,2,1,1,1,1,2,5,1,5,4,2,1,5,5,4,4,2,5,3,2,2,4,4,1,5,4,1,5,1,3,1,5,4,5,4
,Caucasian (Indian),19,0,0,1,2,US,,,,,,5,2,4,2,4,3,5,2,5,4,3,4,3,4,4,4,3,4,3,4,3,3,3,2,3,4,3,4,2,3,4,3,4,1,5,4,3,4,3,4,4,5,4,3,1,3,4,3,4
,Caucasian (European),38,1,1,1,1,ZA,,,,,,2,5,2,4,2,4,3,4,3,4,2,4,4,1,4,4,4,4,2,3,3,4,3,3,3,3,2,1,4,5,1,4,2,5,1,4,2,3,5,4,1,5,1,5,1,5,2,5,5
,Mixed Race,23,0,1,1,1,IN,,,,,,1,5,2,5,2,2,3,5,3,5,4,5,3,5,4,5,3,1,3,5,4,3,5,2,5,2,5,5,5,2,2,5,2,3,5,3,3,4,3,2,1,5,1,5,5,5,2,2,5
,Mixed Race,19,0,1,0,1,US,,,,,,2,3,4,2,5,3,5,3,5,5,5,5,3,5,5,5,5,3,3,4,3,3,4,1,4,2,2,4,4,3,1,5,4,1,4,2,4,1,4,2,2,4,2,3,1,5,2,4,4
,Caucasian (European),19,1,0,1,5,US,,,,,,2,5,2,4,1,3,2,4,2,4,4,4,1,2,2,2,2,2,1,2,4,2,4,2,4,1,5,5,4,5,1,4,1,3,1,5,1,5,5,3,2,4,4,4,1,4,2,3,4
,Mixed Race,36,1,1,1,1,US,,,,,,1,5,2,5,1,5,4,5,1,5,1,5,1,2,4,2,1,4,2,1,5,1,5,5,5,1,5,5,5,4,3,3,3,2,3,5,2,2,4,4,2,5,1,5,1,4,3,5,5
,Caucasian (Indian),25,0,1,1,1,IN,,,,,,2,5,2,4,3,2,5,4,3,2,4,3,3,4,2,3,2,2,2,3,4,2,2,1,2,1,3,2,3,4,1,4,2,4,2,4,3,5,4,2,1,4,2,4,1,5,2,4,4
,Mixed Race,19,0,1,1,1,MX,,,,,,5,3,5,3,4,1,2,3,5,4,3,5,3,4,4,3,2,4,4,2,4,1,3,2,5,2,2,3,3,3,3,2,3,3,4,4,3,2,4,3,4,4,1,3,3,2,2,3,3
,Mixed Race,27,0,0,1,1,IN,,,,,,4,3,3,3,1,4,4,4,5,2,4,4,1,1,1,5,2,1,1,1,4,1,5,1,5,1,5,5,5,3,2,4,1,3,1,5,3,5,5,3,1,3,1,5,1,5,1,1,4
,Caucasian (Indian),26,0,0,1,1,IN,,,,,,4,4,3,4,2,4,5,3,5,4,4,5,2,2,2,5,5,4,5,2,5,2,4,2,3,2,5,4,5,4,2,5,2,4,3,5,2,5,5,4,2,4,1,4,1,5,2,5,4
,Caucasian (Indian),24,0,0,1,1,IN,,,,,,1,4,4,4,1,1,5,3,5,5,2,5,1,5,5,5,5,4,4,5,3,1,5,1,3,3,3,4,3,2,1,5,2,4,1,5,3,3,4,2,2,5,2,3,1,4,1,4,3
,Mixed Race,21,0,0,1,1,VN,,,,,,3,2,5,2,5,1,5,3,5,3,3,5,5,2,5,5,4,5,5,5,4,1,5,1,5,1,4,5,4,3,2,5,5,3,4,5,2,1,4,3,3,5,3,4,2,4,4,5,5
,Caucasian (European),29,1,1,1,1,US,,,,,,3,5,2,4,1,4,3,5,3,4,4,5,1,1,3,4,4,4,5,2,4,3,4,2,4,2,4,3,4,2,5,4,4,1,5,4,3,2,3,5,1,5,1,4,2,4,5,4,4
,Caucasian (Indian),19,0,1,1,1,ZA,,,,,,2,5,2,5,1,5,2,5,5,2,4,4,5,5,1,2,2,3,1,2,5,2,5,1,5,1,4,5,5,2,4,2,3,2,4,3,5,1,2,4,2,4,2,4,2,5,3,5,5
,Mixed Race,99,1,3,1,1,US,,,,,,2,4,2,5,1,3,4,3,2,4,4,4,1,4,4,2,2,4,4,1,4,4,5,1,5,1,5,5,4,4,2,5,3,5,1,4,1,4,5,4,1,5,1,5,1,5,5,5,5
,Caucasian (European),22,1,1,1,1,KR,,,,,,4,4,3,4,3,5,4,4,5,2,5,4,2,1,1,4,3,4,3,2,4,4,4,3,4,1,4,4,4,4,2,4,3,1,2,4,2,4,4,5,1,4,2,5,2,5,5,4,4
,Caucasian (Indian),24,0,1,1,1,US,,,,,,5,2,4,2,5,1,4,3,5,3,3,5,1,3,5,5,5,3,5,4,3,1,3,1,5,2,3,4,3,3,1,4,1,2,1,4,2,3,2,3,4,3,1,1,4,5,3,4,1
,Mixed Race,33,1,1,1,1,IN,,,,,,5,1,4,2,4,1,2,4,5,5,1,5,1,5,5,5,4,5,5,2,3,1,4,4,5,2,2,5,5,1,1,5,3,5,1,1,3,5,2,4,2,5,4,5,1,4,5,5,4
,Caucasian (European),17,0,0,1,5,RO,,,,,,5,3,5,2,4,1,5,2,5,2,5,3,3,2,3,1,1,1,2,2,3,1,4,3,4,3,1,5,3,3,2,4,2,5,2,3,4,1,2,3,4,4,1,3,1,4,1,5,3
,Mixed Race,21,0,0,1,1,ID,,,,,,3,5,2,2,3,2,5,4,2,5,5,5,3,4,4,4,3,5,3,4,5,2,4,5,3,3,4,5,4,5,5,4,4,3,4,3,3,5,4,3,4,4,2,3,2,4,1,4,4
,Caucasian (Indian),21,0,0,1,1,IN,,,,,,1,5,3,5,1,5,1,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,2,5,1,5,5,5,3,1,5,5,3,5,3,3,4,5,4,1,5,1,5,1,5,1,5,5
,Mixed Race,35,0,1,1,1,IN,,,,,,5,5,3,4,5,2,5,2,5,4,1,5,3,4,5,5,4,5,4,5,5,2,5,1,5,2,5,5,4,3,4,4,3,3,4,1,3,3,3,2,3,3,2,3,1,5,1,3,3
,Mixed Race,20,1,1,1,1,IN,,,,,,5,5,5,1,5,1,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,1,5,5,5,5,1,5,5,1,1,5,1,1,5,5,5,5,5,1,1,5,1,1,1,5,1,5,5
,Caucasian (European),18,1,0,1,5,US,,,,,,3,4,3,4,1,5,3,4,4,4,3,4,5,2,1,2,1,2,1,1,5,1,4,1,5,1,4,3,3,4,3,5,1,3,2,5,1,5,5,4,1,5,1,4,1,4,3,4,5
,Caucasian (Indian),16,0,1,1,1,CA,,,,,,4,2,4,2,4,2,4,2,4,3,5,4,5,2,4,3,4,4,4,1,4,1,5,3,4,4,2,4,4,1,5,4,4,2,4,3,4,3,4,3,2,4,3,4,2,2,3,4,4
,Caucasian (European),20,1,1,0,1,US,,,,,,1,4,2,4,1,4,4,4,3,3,3,4,3,4,3,4,3,4,2,2,4,4,3,3,4,2,4,3,4,4,2,4,2,4,2,3,2,3,3,3,2,5,1,5,1,4,3,4,5
,Mixed Race,15,0,0,0,1,MY,,,,,,2,3,3,3,4,3,3,4,1,3,3,5,3,4,4,5,5,4,3,1,4,3,5,1,5,1,5,5,5,3,5,5,4,4,5,5,1,3,3,3,2,5,1,5,1,4,3,5,5
,Caucasian (European),15,1,0,0,1,NZ,,,,,,3,3,3,5,1,4,4,3,3,2,4,5,2,2,1,3,3,1,4,1,5,1,5,1,5,1,4,5,5,3,4,5,4,2,2,2,2,1,3,4,1,5,1,3,1,5,4,1,5
,Caucasian (European),33,0,1,0,1,QA,,,,,,1,5,1,5,1,4,1,1,3,1,3,4,2,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,3,1,3,3,5,3,5,1,4,1,5,1,5,1,2,5
,Caucasian (European),20,1,0,1,1,CA,,,,,,2,2,3,3,4,1,4,4,4,5,2,4,2,4,4,4,4,5,4,4,4,2,4,2,2,3,2,2,3,3,4,4,4,1,4,3,5,1,2,4,2,4,2,2,2,3,3,4,2
,Mixed Race,23,0,0,1,5,IN,,,,,,1,5,5,5,5,5,1,1,5,5,1,1,5,5,5,5,5,1,5,5,1,1,5,1,5,1,5,5,5,1,1,5,5,1,1,5,5,5,5,1,5,5,1,5,1,5,1,5,5
,Mixed Race,28,0,0,1,1,MY,,,,,,2,4,3,3,3,4,5,3,2,3,3,3,3,2,3,3,2,1,3,4,3,1,4,4,5,3,4,4,4,5,2,5,2,5,2,3,3,5,3,3,1,4,1,5,1,5,3,3,5
,Caucasian (Middle East),30,0,1,1,1,LB,,,,,,2,5,2,4,1,4,1,5,4,3,5,3,2,3,2,3,2,2,2,3,4,1,4,2,5,2,3,4,5,4,5,5,1,2,1,5,1,5,4,5,1,5,1,5,1,5,5,5,5
,Caucasian (Indian),16,1,0,1,1,AU,,,,,,2,2,4,3,2,4,2,5,5,5,3,5,4,5,5,5,5,5,5,4,4,3,4,2,5,1,5,5,4,1,5,2,4,1,5,4,3,1,2,3,4,4,3,2,2,1,2,4,4
,Caucasian (European),18,1,0,1,1,US,,,,,,1,3,3,2,2,1,3,2,4,3,4,2,1,2,3,4,4,4,5,5,5,3,4,2,4,2,3,3,2,2,3,3,5,1,4,3,3,2,3,3,2,4,2,2,1,3,3,3,3
,Caucasian (Indian),21,0,1,0,1,GB,,,,,,5,2,2,3,1,2,1,5,5,2,5,5,3,5,5,5,5,5,3,5,5,1,5,1,5,1,4,5,4,3,5,5,1,3,2,4,1,2,5,4,1,5,1,5,1,5,5,5,5
,Caucasian (Indian),26,0,1,1,1,IN,,,,,,1,4,3,4,1,4,1,4,3,4,3,4,2,4,3,4,4,5,3,1,5,2,4,1,4,1,5,4,3,4,5,5,4,2,4,1,4,1,2,4,1,5,1,4,1,4,5,3,5
,Caucasian (Indian),28,0,1,0,1,IN,,,,,,5,3,3,3,3,1,4,2,5,2,4,4,3,2,2,2,2,2,1,1,4,1,4,1,5,1,4,5,3,3,1,4,2,2,3,3,2,3,1,2,2,5,1,5,1,4,1,4,5
,Caucasian (Indian),29,0,1,1,1,PK,,,,,,1,4,1,4,1,4,1,5,5,5,2,5,1,5,5,5,5,5,1,4,5,4,5,1,5,1,2,5,5,5,3,5,1,5,1,5,3,5,5,4,4,5,4,5,1,5,4,5,5
,Caucasian (Indian),25,1,1,1,1,IN,,,,,,2,5,4,4,3,3,4,4,4,4,3,4,2,3,4,4,4,3,4,2,4,3,4,3,4,3,3,4,4,2,4,4,4,4,3,2,2,3,4,3,2,4,3,4,2,4,4,4,4
,Mixed Race2,35,1,1,1,1,ZA,,,,,,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,5,5,1,5,1,5,5,5,1,3,3,5,1,5,1,5,5
,Mixed Race,31,0,1,1,1,AP,,,,,,4,4,4,4,4,4,1,2,4,4,3,4,3,2,3,3,3,3,3,3,4,1,3,3,4,2,4,4,5,4,2,5,1,1,1,3,2,4,4,4,3,2,4,3,2,5,3,3,4
,Caucasian (European),29,1,1,1,1,CN,,,,,,5,3,4,2,3,2,5,1,5,2,5,3,3,3,2,2,1,2,2,1,4,1,4,1,4,4,4,3,3,4,2,3,2,3,3,5,1,2,3,3,3,2,2,2,4,4,4,4,3
,Mixed Race,20,0,0,1,1,MX,,,,,,5,2,3,2,2,2,5,1,4,2,3,4,4,2,2,2,2,2,3,4,3,1,2,2,4,2,3,3,3,3,4,3,4,3,1,4,3,5,2,5,3,3,2,3,2,5,4,4,4
,Caucasian (Indian),24,0,1,1,1,IN,,,,,,1,5,4,4,2,3,4,1,5,4,5,5,2,5,5,3,4,5,3,5,5,1,5,2,5,1,2,5,5,3,3,2,3,2,5,4,4,2,4,3,1,5,1,5,1,5,2,5,5
,Caucasian (European),26,0,0,1,1,SI,,,,,,2,4,3,4,2,3,4,2,3,2,3,4,3,4,4,2,2,2,2,1,4,1,5,1,5,2,4,4,3,2,3,3,3,2,2,4,3,4,4,4,1,4,2,4,1,4,3,4,4
,Mixed Race,26,0,1,1,1,HK,,,,,,4,3,4,3,4,3,5,4,3,3,5,4,2,2,4,4,4,4,4,2,5,4,2,4,4,4,3,4,4,3,5,2,4,2,5,2,4,2,4,4,1,3,1,4,3,5,4,4,4
,Mixed Race,26,0,0,1,2,IN,,,,,,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,2,4,4,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,2,4,4
,Caucasian (Indian),31,0,1,1,1,IN,,,,,,1,4,4,2,2,2,4,4,1,2,4,2,3,1,1,2,1,1,3,5,3,1,4,2,4,2,3,5,4,3,5,3,1,3,2,4,3,2,3,3,2,4,4,3,4,2,2,2,3
,Mixed Race,44,0,0,1,1,IN,,,,,,4,3,3,2,3,2,2,5,4,4,2,3,2,2,4,4,3,4,2,1,4,1,4,1,3,2,4,5,2,2,4,4,2,1,5,2,4,2,3,5,2,5,1,3,1,5,5,5,2
,Caucasian (Indian),32,0,1,1,1,IN,,,,,,2,4,4,4,4,3,4,4,4,3,3,4,3,3,3,4,4,3,3,4,5,2,4,2,4,1,3,4,5,2,4,4,3,5,4,1,1,2,3,3,2,4,2,4,2,4,3,5,4
,Caucasian (Indian),22,0,0,1,5,CA,,,,,,2,2,4,2,2,1,4,2,5,3,2,4,2,2,3,4,4,4,2,3,3,2,3,4,4,3,3,4,3,3,2,4,3,2,2,4,3,2,3,2,3,4,3,3,2,3,2,4,3
,Caucasian (Indian),32,0,1,1,1,IN,,,,,,1,4,4,4,2,3,2,4,2,2,4,4,4,2,2,1,2,3,2,2,4,1,4,2,5,2,4,4,4,3,2,4,2,4,3,4,1,3,2,3,2,4,2,4,2,5,1,4,3
,Mixed Race,21,0,0,0,1,US,,,,,,2,4,3,3,3,4,3,4,5,3,4,5,2,5,5,4,3,4,5,4,5,3,3,3,4,3,3,3,4,4,1,4,5,3,4,3,3,4,4,4,3,4,3,5,2,3,3,4,5
,Mixed Race,32,0,0,1,1,IN,,,,,,4,2,4,4,2,3,3,5,5,1,2,5,3,3,4,3,2,3,5,4,5,1,5,1,5,1,5,5,5,4,3,5,1,3,1,2,2,4,5,3,2,4,1,5,1,5,2,4,5
,Caucasian (European),23,0,1,1,1,PL,,,,,,1,5,3,3,1,3,1,5,3,2,2,2,2,3,1,3,3,3,1,3,3,4,2,3,3,3,1,2,5,2,1,3,2,3,1,3,3,3,3,3,3,3,3,5,1,3,2,3,4
,Mixed Race,23,0,0,1,5,TR,,,,,,1,5,1,5,1,5,3,4,1,2,3,4,4,3,3,2,3,2,3,2,5,1,5,1,5,1,5,5,5,3,2,5,2,4,1,4,1,3,1,5,1,5,1,3,1,4,2,3,4
,Mixed Race,17,0,1,1,1,MX,,,,,,5,2,4,2,4,1,3,1,5,2,3,3,3,5,5,5,5,5,3,4,3,2,3,2,3,2,2,3,1,2,4,2,4,1,5,2,5,1,3,3,1,3,1,4,2,5,5,5,5
,Mixed Race,22,1,0,2,1,US,,,,,,4,2,4,2,2,1,4,1,5,4,2,4,2,4,5,5,5,4,4,2,3,2,4,1,5,1,3,5,4,3,4,4,4,1,5,4,4,2,2,5,1,5,2,5,1,5,5,5,5
,Caucasian (European),26,0,1,1,1,RO,,,,,,3,2,5,4,1,1,5,1,4,5,1,5,2,5,5,3,4,5,4,4,2,4,3,3,3,4,4,3,3,3,2,5,4,2,4,4,3,3,4,3,2,4,3,4,3,4,3,5,4
,Mixed Race,23,0,1,1,1,MY,,,,,,4,2,5,1,3,1,5,1,5,5,3,5,3,5,5,5,2,4,2,1,4,3,5,3,5,4,3,5,3,4,2,4,4,5,5,5,2,2,4,4,4,5,5,5,5,5,5,4,5
,Caucasian (Middle East),25,0,1,1,1,MX,,,,,,3,4,3,4,2,4,4,4,4,1,4,1,2,2,4,2,2,4,2,4,3,4,3,4,2,4,3,4,3,4,3,4,2,2,2,5,1,4,4,4,1,5,2,3,1,5,2,4,4
,Caucasian (European),18,1,1,1,1,US,,,,,,1,5,3,5,2,5,2,4,2,4,4,2,2,4,4,2,1,5,2,1,4,5,5,3,4,2,5,5,4,4,2,2,2,4,3,4,2,5,3,4,3,5,1,4,1,5,4,5,5
,Caucasian (Indian),34,0,1,1,1,AU,,,,,,3,4,3,2,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,4,2,4,3,3,3,4,4,3,4,4,4,2,4,2,4,1,5,4,5,2,5,3,4,1,4,4,5,4
,Mixed Race,53,0,1,0,1,ID,,,,,,4,3,4,3,4,2,4,2,5,2,4,3,4,2,2,1,1,1,2,2,4,1,4,2,3,4,2,2,3,3,2,4,2,3,4,2,1,4,4,3,3,5,2,3,1,4,2,5,3
,Caucasian (European),40,0,1,2,1,IT,,,,,,1,2,4,3,4,5,4,3,3,4,2,5,3,3,2,1,1,1,3,4,4,3,4,2,3,3,4,3,4,1,5,4,2,2,2,5,1,4,4,2,4,4,4,4,2,3,1,4,2
,Mixed Race,34,0,1,1,1,IN,,,,,,5,3,4,2,4,2,3,3,5,4,2,3,4,2,4,4,4,2,4,3,5,1,2,4,1,4,4,4,4,3,3,5,3,2,3,3,2,3,3,2,2,5,1,3,1,4,3,4,4
,Caucasian (European),29,0,1,1,1,CH,,,,,,1,5,2,4,1,4,3,5,1,3,4,2,2,1,2,4,4,2,1,3,5,2,4,4,1,1,3,5,4,5,1,5,1,3,3,3,3,4,5,5,1,5,3,5,1,5,3,3,5
,Mixed Race,21,1,0,1,1,US,,,,,,3,3,4,4,3,4,5,1,4,5,2,5,3,3,3,4,2,4,2,2,3,3,3,4,5,3,5,3,5,3,2,5,3,4,2,4,2,1,4,4,2,5,3,4,5,5,3,5,4
,Caucasian (European),17,1,0,1,1,US,,,,,,4,3,4,2,3,3,3,2,5,4,3,4,3,3,2,2,1,2,2,1,5,1,5,2,4,2,4,5,5,4,2,5,2,2,2,4,2,5,4,4,2,5,2,5,1,5,3,5,4
,Caucasian (Indian),28,0,1,1,1,IN,,,,,,1,3,5,5,2,3,3,3,2,5,2,5,3,2,2,5,3,4,4,5,3,3,5,2,5,3,5,5,5,1,5,3,5,3,5,4,3,4,5,1,1,4,3,5,1,5,1,4,5
,Mixed Race,18,1,0,1,1,US,,,,,,3,3,3,3,2,2,5,2,5,3,4,3,2,2,3,3,1,3,1,1,5,2,5,1,3,2,5,4,3,1,5,2,2,2,5,3,5,1,1,2,2,3,1,2,2,3,2,4,2
,Caucasian (European),46,0,1,1,1,IT,,,,,,3,5,3,5,1,4,5,5,3,1,3,4,1,1,3,2,1,1,1,1,5,1,5,1,4,1,3,3,5,4,1,5,2,4,1,5,3,4,3,3,2,5,1,3,1,3,1,4,3
,Caucasian (European),19,1,1,1,1,US,,,,,,1,5,1,5,1,4,2,5,1,2,4,3,4,2,2,2,1,2,1,2,4,1,3,2,2,2,3,3,3,4,4,4,2,2,4,3,1,5,4,4,1,3,1,3,2,5,2,4,2
,Caucasian (European),23,1,0,1,1,US,,,,,,4,2,3,1,3,1,4,4,4,3,5,5,2,1,1,2,2,3,3,1,1,1,5,1,4,4,4,5,4,3,1,3,2,2,4,4,3,2,3,2,1,5,3,4,1,4,1,5,4
,Caucasian (European),17,1,0,1,1,US,,,,,,2,3,2,5,2,1,2,4,5,4,2,5,4,2,5,5,5,3,2,2,5,1,4,2,4,1,4,5,4,4,5,4,3,4,5,4,1,5,5,4,1,5,1,3,1,4,4,4,5
,Caucasian (European),46,0,1,1,1,US,,,,,,4,2,2,3,2,4,2,3,3,5,1,5,1,5,5,4,5,5,5,1,2,3,4,4,4,4,4,4,4,3,4,5,2,3,2,5,3,2,3,3,5,4,3,4,2,3,3,5,4
,Caucasian (Indian),25,0,0,1,1,IN,,,,,,1,3,5,2,2,2,1,4,5,5,2,5,2,5,4,5,5,5,5,3,4,2,4,2,4,3,2,3,3,4,4,5,4,4,4,5,4,5,5,3,1,5,2,4,1,5,1,5,5
,Mixed Race,20,1,0,1,5,EG,,,,,,4,3,2,4,3,4,2,4,2,4,4,3,3,4,3,3,2,2,4,4,4,1,4,2,5,2,5,4,4,3,4,5,3,2,4,5,3,2,2,3,5,4,2,4,3,4,1,3,4
,Caucasian (Indian),26,0,1,1,1,IN,,,,,,4,3,3,4,3,1,1,3,2,4,4,3,4,4,3,4,2,3,4,4,4,1,4,3,5,2,5,4,3,4,3,5,1,5,4,1,3,2,4,2,1,4,1,4,2,3,2,4,3
,Caucasian (Indian),29,0,1,1,1,IN,,,,,,2,5,2,5,2,4,2,3,2,5,3,3,5,4,4,5,5,5,4,4,2,1,5,2,2,4,4,5,4,4,1,4,2,3,1,5,4,1,4,3,2,2,2,4,2,5,2,3,4
,Mixed Race,23,0,0,1,1,TH,,,,,,4,2,4,3,2,2,2,3,5,5,2,4,4,4,4,5,5,5,4,3,3,4,4,2,4,3,3,4,2,3,3,4,4,2,4,3,2,3,3,4,2,3,2,3,2,4,4,3,4
,Mixed Race,23,0,1,1,1,TN,,,,,,2,4,2,5,2,4,4,5,2,2,4,2,3,2,2,5,5,2,2,5,2,2,2,2,4,4,2,5,4,3,4,4,4,3,1,3,1,2,5,3,1,5,1,5,1,5,4,4,5
